url,titre,auteurrices,langue,resume,thematique,type,mots_cles,conference
https://r2015-grenoble.sciencesconf.org/65868.html,Graphiques interactifs en analyse de données avec Factoshiny,"François Husson, Pauline Vaissié, Astrid Monge",Visualisation,Factoshiny est un package qui permet d'utiliser le package FactoMineR pour d'une part paramétrer les méthodes d'analyse de données et d'autre part pour construire des graphiques interactifs. ,NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66722.html,visNetwork : création et visualisation intéractives de réseaux,Benoit Thieurmel,Visualisation,"Nous proposons de présenter un nouveau package R : visNetwork. Ce package est basé sur la librairie vis.js. Il permet une création et une visualisation intéractives de réseaux, avec notamment les fonctionnalités suivantes : - Réseaux orientés, réseaux hierarchiques - Customisation simple des noeuds et des arêtes (groupe, forme, couleur, taille, image, ...) - Module de clustering des noeuds - Module de création dynamique du réseau - Module de contrôle de la 'physique' - Contrôle de l'intéractivité du graphique (noeuds mouvants ou figés, tooltip, ...)",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66005.html,Classification et visualisation de graphes avec SOMbrero,"Madalina Olteanu, Nathalie Villa-Vialaneix",Visualisation,"Récemment, les données structurées et notamment les graphes ont connu un intérêt croissant. Celles-ci ont en effet de multiples applications en sciences humaines et sociales, en biologie ou en informatique. Pour comprendre les structures complexes modélisées par les graphes, une approche courante consiste à combiner classification des sommets du graphe avec visualisation. Les cartes auto-organisées (SOM) sont une classe d'algorithmes de classification non-supervisée dont le principe est de projeter de manière non linéaire les données sur une carte de dimension faible (généralement une grille rectangulaire à deux dimensions) tout en préservant la structure topologique des données. Dans cette proposition de communication, nous proposons de présenter le package R SOMbrero. Celui-ci contient une version stochastique de l'algorithme SOM adaptée à des données décrites par des matrices de dissimilarités, appelée SOM relationnel. En particulier, le package permet l'utilisation de l'algorithme pour des graphes à partir de (dis)similarités calculées entre sommets.",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66101.html,Un package R pour modéliser la survie en tenant compte des effets centres et des risques compétitifs,Marie De Antonio,Application,"Dans la majorité des études cliniques, les patients sont souvent exposés simultanément à plusieurs évènements exclusifs (rechutes, décès...), appelés risques compétitifs. En présence d'évènements multiples, l'effet des covariables doit être estimé en prenant en compte les risques en compétition. En effet, différents événements d'intérêt peuvent être considérés. Plusieurs méthodes statistiques ont été mise en place pour prendre en compte les risques compétitifs. Fine & Gray a proposé “the subdistribution model”. Par exemple, dans le cas d'une leucémie aiguë ; les patients peuvent (1) rechuter directement, (2) rechuter après la survenue de la maladie du greffon contre l'hôte (GvHD) ou (3) décéder sans rechute et sans survenue de la GvHD.  Les modèles à fragilité permettent de modéliser une hétérogénéité entre des groupes de patients issus des différents centres. Par exemple, la prise en charge dans les hôpitaux peut-être différente. Par conséquent, ce paramètre est donc important, d'autant plus si les pratiques sont hétérogènes. Ces individus issus d'un même groupe sont considérés dépendants entre eux. Cette dépendance est contenue dans les termes de fragilité qui permettent d'estimer l'effet centre. L'étude des effets centres permet d'expliquer la variabilité du risque inter-centre et d'avoir des coefficients non biaisés. Pour estimer ces paramètres, la vraisemblance partielle pénalisée est utilisée. Cette approche consiste à exprimer la vraisemblance en deux parties : (1) la vraisemblance partielle conditionnelle en tenant compte des termes de fragilité et (2) la distribution des effets aléatoires.  La distribution des effets aléatoires peut être supposée par une distribution gaussienne ou gamma, selon l'hypothèse de distribution la formule est adaptée. Dans la fonction de l'algorithme il y a deux boucles qui permettent de maximiser la vraisemblance, la boucle interne qui vise à estimer les coefficients pour une distribution donnée des effets aléatoires et la boucle externe qui consiste à estimer la variance des termes de fragilités en utilisant la dernière estimation des coefficients.  Les modèles à risques compétitifs ont ensuite été étendus aux modèles de fragilité qui permettent de prendre en compte l'effet cluster en présence de risques concurrents. Ces deux spécificités (risques compétitifs et effets centres) sont bien connues dans les analyses de survies et doivent être prises en compte afin que le modèle soit performant. Katsahian & Boudreau ont intégré un terme de fragilité pour prendre compte l'effet centre dans le modèle de Fine & Gray qui tient compte des risques compétitifs.  A l'aide de l'étude de simulation, si en réalité il n'y a pas d'effet centre nous pouvons voir que les estimations sont non biaisées. En revanche, l'utilisation d'un modèle classique dans le cadre d'effets centres donne des estimateurs biaisées. Un modèle de fragilité est quant à lui robuste. Quel que soit l'hypothèse de la distribution des effets aléatoires (gamma ou gaussienne), les estimations des coefficients sont très proches, nous observons la même variance de ces estimateurs.  L'exemple illustratif de ce travail concerne l'allogreffe de cellules souches hématopoïétiques (moelle ou sang de cordon ombilical) comme traitement de la leucémie aiguë de l'enfant. Les données proviennent du registre Eurocord de greffes de moelle et concernent 442 enfants atteints de leucémie aiguë et allogreffés soit après soit sans T-déplétion du greffon entre le 1er janvier 1994 et le 31 mai 1998. A la date de point du 1er janvier 1999, le suivi médian est de 30,3 mois; 182 enfants ont eu une GvHD aiguë, 141 ont rechuté et 237 sont décédés.  Comme nous avons observé dans l'exemple, ces méthodes sont importantes à prendre en compte dans les études cliniques. Les méthodes ont été programmées sous R et implémentées dans un package. Les calculs sont basés à partir des fonctions usuelles telles que coxph et it coxme. Ce nouveau package permets donc directement, de modéliser la survie en présence d'effets centres et de risques compétitifs. Dans un tel cadre, le modèle de survie est fortement biaisé si on ne prend pas en compte ces spécificités.",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66026.html,Une étude de cas en biomécanique avec la fonction lme de R pour modéliser des structures complexes d'effets aléatoires et de matrice de variance-covariance des erreurs,"Frédérique Letué, Caroline Bazzoli, Marie-José Martinez",Application,"Nous présentons ici une étude de cas sur la modélisation de l'intensité des forces de doigts en biomécanique. L'expérience dont sont issues les données a été décrite dans [1]. Dans cette étude, on a demandé à 15 sujets de presser des capteurs avec les 4 doigts simultanément dans trois conditions expérimentales différentes. Trois mesures ont été réalisées par sujet et par condition expérimentale. Un des buts de l'étude est de comparer les intensités de force de chaque doigt entre les différentes conditions expérimentales et pour chaque condition expérimentale, de comparer les intensités de forces de doigts entre elles. Les données ont d'abord été analysées dans [1] par une simple ANOVA à deux facteurs. Ceci revient à supposer que les mesures entre les 4 doigts sont indépendantes et qu'elles ont été faites sur 45 individus différents. Dans cette présentation, nous proposons une nouvelle modélisation permettant de prendre en compte la répétition des mesures sur les 15 sujets et la dépendance entre les doigts, puisque les mesures sont simultanées. Pour cela, nous utilisons les modèles linéaires mixtes en introduisant des effets aléatoires pour modéliser la variabilité intra-sujet et des structures complexes de variance-covariance des erreurs pour modéliser la dépendance entre les 4 doigts d'une même mesure. Les données sont traitées à l'aide de la fonction lme du package nlme de R [2]. Nous expliquerons pourquoi nous avons choisi lme plutôt que la fonction lmer du package lme4, pourtant développée plus récemment. Nous montrerons les étapes de la modélisation grâce aux options de lme pour aboutir à des structures complexes d'effets aléatoires et de matrices de variance-covariance des erreurs. Enfin, nous présenterons les problèmes que nous avons rencontrés, notamment pour modéliser des corrélations résiduelles complexes à l'aide de lme. Les résultats complets sont disponibles dans [3].   Références [1] Quaine, F., Paclet, F., Letué, F. , Moutet, F. (2012) Force sharing and neutral line during finger extension tasks. Human Movement Science, 31 (4), 749-757. [2] Pinheiro, J., Bates, D., DebRoy, S., Sarkar, D., and R Core Team (2014) nlme: Linear and Nonlinear Mixed Effects Models. R package version 3.1-117. [3] Bazzoli, C., Letué, F., Martinez, M.-J. (2014) Modelling finger force produced from different tasks using linear mixed models with lme R function. En révision pour CSBIGS",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/61214.html,A General Method to map Single-cell Probabilistic Trait Loci of the Genome,"Florent Chuffart, Helene Duplus-Bottin, Daniel Jost, Gaël Yvert",Application,"In living organisms, cell-to-cell variability can have dramatic consequences. For example, in some individuals, the occurrence of rare cellular events is responsible for disease. This single-cell variability can be quantified. It can also be described statistically by considering quantitative traits as random variables that follow probability density functions, each single-cell having a probability to express a given value of a trait. It is now known that genotypes can shape the statistical properties of single-cell phenotypic traits. Finding genetic loci involved in the control of single-cell quantitative trait density functions is therefore a promising challenge. However, methods to map such loci have not yet been developed beyond the approaches based on QTL (Quantitative Trait Loci) mapping, which are focused on the main moments (mean and variance) of the distribution. We propose here a novel method that allows us : i) to discriminate individuals by comparing the distribution of their phenotype and ii) to map the genetic loci responsible for specific distributions. This method is based on a metric that compares individuals on the basis of their single-cell trait distributions. Individuals are then projected into a space vector, and multivariate analysis searches for discrimination based on the genotype. Our method was validated on a simulated dataset of an auto-regulated gene model and on a published yeast morphological traits dataset. We have observed that our method is of particular interest do detect loci that have a small effect on the shape of single-cell trait density function. This project is funded by European Research Council (SiGHT project, ERC-StG2011-281359). [1] Yvert G. 'Particle genetics': treating every cell as unique. Trends in Genetics. 2014 30(2):49-56. [2] Nogami S, Ohya Y and Yvert G. Genetic Complexity and Quantitative Trait Loci Mapping of Yeast Morphological Traits. PLoS Genetics, 2007, 3(2):e31.  ",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66081.html,An extension to generalized pairwise comparisons for prioritized outcomes with censoring,Julien Péron,Modélisation,"Generalized pairwise comparisons have been proposed to permit a comprehensive assessment of several prioritized outcomes between two groups of observations [1]. We propose an extension of generalized pairwise comparisons for time-to-event outcomes that takes into account the time to censored observations. We show how pairwise scores can be calculated from the Kaplan-Meier estimates of the survival function in the presence of right-censored data. These scores are used to estimate the chance of a better outcome with treatment than with control, which is defined as where the outcome is captured by the variable in the treatment group and by the variable in the control group. A randomization test can be used to test the null hypothesis , and to calculate a confidence interval for . The extended procedure for generalized pairwise comparisons is more efficient than the standard procedure. When several outcomes are prioritized in a single assessment of the overall treatment effect (i.e. benefit-risk assessment), the estimation of the chance of a better outcome varies only slightly with the censoring pattern. Since the way the censoring occurs is independent of the parameters of interest (benefits and risks of an investigational treatment), the censoring rate on the survival outcome should not have a large impact on the estimation of the chance of a better outcome. To facilitate the use of generalized pairwise comparisons we have developed an R package BuyseTest, which we will present. The package includes the standard procedure of generalized pairwise comparisons, and two extensions for time-to-event outcome analyses. The standard procedure of pairwise scoring for time-to-event variable is to classify as ‘uninformative' all the pairs not known to be favorable or unfavorable because of censoring. When only one time-to-event outcome is considered, this approach is equivalent to Gehan's extension of the Wilcoxon test for censored data [2]. The first extension estimates using the Kaplan-Meier estimate of the survival function based on all observations, following Latta's modification of Efron's test and Peto and Peto's test [3]. The second extension estimates using the Kaplan and Meier estimates of the survival function of the two groups of patients, following the Efron's generalization of the Wilcoxon test [4]. The R package BuyseTest also includes a function to compute sample size while designing randomized trials.",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66216.html,abc : un paquetage R pour le calcul bayésien approché,Michael Gb Blum,Modélisation,"Le calcul bayésien approché (« Approximate Bayesian Computation » en anglais) est une technique de statistique bayésienne qui permet de faire de l'inférence statistique dans des modèles où le calcul de la vraisemblance est trop couteux d'un point de vue numérique. Cette technique a fait ses preuves en génétique des populations dans le cadre des modèles de coalescence [1]. Dans ces modèles, les paramètres à estimer sont en général de l'ordre de la dizaine tandis que le nombre de variable latentes est beaucoup plus grand ce qui rend difficile voire impossible le calcul de la vraisemblance et l'application des méthodes de Monte-Carlo par chaînes de Markov. Dans le calcul bayésien approché, l'inférence statistique repose sur des simulations numériques du modèle et un algorithme de rejet éventuellement suivi de méthodes dites d'ajustement [2,3]. Dans cet exposé, je présenterai comment effectuer les différentes étapes de l'analyse statistique avec le calcul bayésien approché : inférence des paramètres, comparaison de modèles et évaluation de l'adéquation du modèle aux données. Après une présentation des concepts statistiques, je montrerai comment effectuer ces opérations avec le paquetage R abc [4]. J'illustrerai les différentes étapes du calcul bayésien approché avec un exemple issu de la génétique des populations où l'objectif est d'inférer la démographie passée de populations humaines à partir d'indicateurs statistiques de la variabilité génétique.   Références [1] Beaumont, M. A., Zhang, W., & Balding, D. J. (2002). Approximate Bayesian computation in population genetics. Genetics, 162(4), 2025-2035. [2] Blum, M. G. B., & François, O. (2010). Non-linear regression models for Approximate Bayesian Computation. Statistics and Computing, 20(1), 63-73. [3] Blum, M. G. B. (2010). Approximate Bayesian computation: a nonparametric perspective. Journal of the American Statistical Association, 105(491), 1178-1187. [4] Csilléry, K., François, O., & Blum, M. G. B. (2012). abc: an R package for approximate Bayesian computation (ABC). Methods in ecology and evolution, 3(3), 475-479.",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/68590.html,ibr: un paquet R pour la réduction itérative de biais,"Eric Matzner-Lober, Pierre-André Cornillon",Modélisation,"   Si nous souhaitons expliquer une variable Y par un ensemble de d variables explicatives X1, · · · , Xd, la régression constitue un outil classique de la statistique. Cette famille de modélisation com- prend la régression paramétrique linéaire ou non-linéaire, la régression non-paramétrique util- isant des lisseurs construits à partir d'ondelettes, de noyaux, de splines.  Dès que le nombre d'observations est modéré (de l'ordre de plusieurs centaines) et que le nombre de variables d est plus grand que 3 ou 4, les approches non-paramétriques classiques rencontrent le problème dit du fléau de la dimension. Dans ce cas, un modèle structurel est souvent utilisé: par exemple un modèle additif, des directions révélatrices ou MARS.  Le boosting est aussi une réponse possible au problème de régression et cette méthode possède maintenant de nombreux développements comme adaboost, logitboost pour la dis- crimination ou le L2 boosting pour la régression. Cette dernière peut être utilisée avec de nombreux lisseurs et donne lieu à une modélisation additive par composante.  A contrario, la réduction itérative de biais permet d'estimer une fonction de régression multi- variée directement via un lisseur multivarié sans hypothèse paramétrique ou sans contraintes structurelles.    ",NA,oral,,rr2015
https://r2015-grenoble.sciencesconf.org/66887.html,Compétitions d'apprentissage automatique avec le package rchallenge,"Robin Genuer, Adrien Todeschini",Lightning talk,"En apprentissage automatique, les performances empiriques obtenues sur données réelles sont déterminantes dans le succès d'une méthode. Ces dernières années ont vu l'apparition d'un grand nombre de compétitions d'apprentissage automatique. Ces challenges sont motivés par des applications industrielles (prix Netflix) ou académiques (challenge HiggsML) et mettent en compétition chercheurs et data scientists pour obtenir les meilleures performances. Nous avons souhaité confronter les étudiants à cette réalité en leur soumettant un challenge dans le cadre du cours d'apprentissage automatique. Leur classement est affiché sur une page web mise à jour automatiquement permettant une émulation parmi les étudiants. L'historique des résultats leur permet également de visualiser leur progression au fil des soumissions. De plus, le challenge peut se poursuivre en dehors des sessions encadrées favorisant l'autonomie et l'exploration de nouvelles techniques d'apprentissage et outils informatiques. Le système que nous avons mis en oeuvre est disponible sous forme de package R afin d'être réutilisé par d'autres enseignants. S'appuyant sur les outils R Markdown et Dropbox, il ne nécessite aucune configuration réseau et peut être déployé très facilement sur un ordinateur personnel.",NA,lightning talk,,rr2015
